category,subcategory,score,effect,ransomware_note,grid_x,grid_y
Protect,PR.AC-6: Identities are proofed and bound to credentials and asserted in interactions,1,Likelihood,"Compromised credentials are a common attack vector in ransomware events. Identities should be proofed and then bound to a credential (e.g., two-factor authentication of formally authorized individuals) to limit the infiltration potential that enables ransomware attacks.",1,1
Protect,PR.AT-1: All users are informed and trained ,3,Likelihood,"Most ransomware attacks are made possible by users who engage in unsafe practices, administrators who implement insecure configurations, or developers who have insufficient security training. ",1,1
Protect,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity",3,Likelihood,Integrity checking mechanisms can detect tampered software updates that can be used by criminals to insert malware that can lead to ransomware events.,1,1
Protect,PR.DS-7: The development and testing environment(s) are separate from the production environment,3,Likelihood,Keeping development and testing environments separate from production environments can prevent ransomware from promulgating from development and testing systems into production systems.,1,1
Protect,PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality),1,Likelihood,"Baselines are useful for establishing the set of functions a system needs to perform and that any deviation from that baseline could be evaluated for its cyber risk potential. Unauthorized changes to the configuration can be used as an indicator of a malicious attack, which may lead to the introduction of ransomware.",1,1
Protect,PR.IP-3: Configuration change control processes are in place,1,Likelihood,"Proper configuration change processes can help to enforce timely security updates to software, maintain necessary security configuration settings, and discourage replacement of code with products that contain malware or don't satisfy access management policies.",1,1
Protect,"PR.MA-2: Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access",4,Likelihood,"Remote maintenance provides an access channel into networks and technology which, if not managed, criminals may use to alter configurations in a manner that permits introduction of malware.",1,1
Protect,PR.PT-3: The principle of least functionality is incorporated by configuring systems to provide only essential capabilities,2,Likelihood,"Maintaining the principle of least functionality may prevent malware from proliferating laterally among potential target systems (e.g., moving into an operational process control system from an administrative network).",1,1
Respond and Recover,RS.RP-1: Response plan is executed during or after an incident,1,Impact,"Immediate execution of the response plan is necessary to stop any corruption or continuing exfiltration of data, stem the spread of an infection to other systems and networks, and initiate preemptive messaging.",2.5,1
Respond and Recover,RS.CO-1: Personnel know their roles and order of operations when a response is needed,4,Impact,Response to ransomware events include both technical and business responses. An efficient response requires all parties to understand their roles and responsibilities. ,2.5,1
Respond and Recover,RS.CO-2: Incidents are reported consistent with established criteria,4,Impact,Response to ransomware events include both technical and business responses. An efficient response requires pre-established criteria for reporting and adherence to that criteria during an event. ,2.5,1
Respond and Recover,RS.CO-3: Information is shared consistent with response plans,4,Impact,Information sharing priorities include stemming the spread of an infection to other systems and networks as well as preemptive messaging.,2.5,1
Respond and Recover,RS.CO-4: Coordination with stakeholders occurs consistent with response plans,4,Impact,Coordination priorities include stemming the spread of misinformation as well as preemptive messaging.,2.5,1
Respond and Recover,RS.CO-5: Voluntary information sharing occurs with external stakeholders to achieve broader cybersecurity situational awareness ,4,Impact,Information sharing may also yield forensic benefits and reduce the impact and profitability of ransomware attacks.,2.5,1
Respond and Recover,RS.AN-2: The impact of the incident is understood,4,Impact,Understanding the impact will shape the implementation of the recovery plan.,2.5,1
Respond and Recover,RS.AN-3: Forensics are performed,4,Impact,Forensics help identify the root cause to eradicate the ransomware and can inform the recovery process.,2.5,1
Respond and Recover,RS.MI-1: Incidents are contained,2,Impact,Immediate action must be taken to prevent the spread of the ransomware to other systems and networks.,2.5,1
Respond and Recover,RS.MI-2: Incidents are mitigated,2,Impact,"Immediate action must be taken to isolate the ransomware to minimize the damage to the data, to prevent the spread of infection to other systems and networks, and to minimize the impact on the mission or business.",2.5,1
Respond and Recover,RC.RP-1: Recovery plan is executed during or after a cybersecurity incident ,3,Impact,Immediate initiation of the recovery plan after the root cause has been identified can cut losses.,2.5,1
Respond and Recover,RC.IM-2: Recovery strategies are updated,3,Impact,This is needed to maintain the effectiveness of contingency planning for future ransomware attacks.,2.5,1
Respond and Recover,RC.CO-1: Public relations are managed,3,Impact,This is necessary to minimize the business impact by being open and transparent and to restore confidence among stakeholders.,2.5,1
Respond and Recover,RC.CO-2: Reputation is repaired after an incident ,3,Impact,Repair is necessary to minimize the business impact and restore confidence among stakeholders.,2.5,1
Respond and Recover,RC.CO-3: Recovery activities are communicated to internal and external stakeholders as well as executive and management teams,3,Impact,Communication of recovery activity helps to minimize the business impact and restore confidence among stakeholders.,2.5,1
Respond and Recover,RS.AN-1: Notifications from detection systems are investigated ,4,Likelihood,Sometimes what is detected is the testing of a ransomware attack that can be preempted.,2.5,1
Respond and Recover,"RS.AN-5: Processes are established to receive, analyze and respond to vulnerabilities disclosed to the organization from internal and external sources (e.g. internal testing, security bulletins, or security researchers)",4,Likelihood,This can prevent future successful attacks and the spread of the ransomware to other systems and networks. It can also help restore confidence among stakeholders.,2.5,1
Respond and Recover,RS.MI-3: Newly identified vulnerabilities are mitigated or documented as accepted risks,2,Likelihood,This is necessary to minimize the probability of future successful ransomware attacks or understand the risk and to restore confidence among stakeholders.,2.5,1
Respond and Recover,RS.IM-1: Response plans incorporate lessons learned,2,Likelihood,This is necessary to minimize the probability of future successful ransomware attacks and to restore confidence among stakeholders.,2.5,1
Respond and Recover,RS.IM-2: Response strategies are updated,2,Likelihood,This is necessary to minimize the probability of future successful ransomware attacks and to restore confidence among stakeholders.,2.5,1
Respond and Recover,RC.IM-1: Recovery plans incorporate lessons learned,3,Likelihood,This is necessary to minimize the probability of future successful ransomware attacks and to restore confidence among stakeholders.,2.5,1
