momentID,momentVehicleClassLower,momentVehicleClass,momentType,momentVehicle,momentVehicleTop,momentAdditional,momentIn,momentOut,momentDuration,momentDurationTop,movieID,movieName,movieYear,movieActor,movieDuration,inVehicleDuration,inVehicleFraction,movieDescription,momentDurationStacked
M02V07,car,Car,land-based,1960 5 door Ford Ranch Wagon,0_Other,,2923,2932,9,9,M02,From Russia with Love,1963,Sean Connery,6900,2534,37%,"The second Bond movie has the longest vehicle scene of them all: the famous Orient Express train from Istanbul to Istria. It leads to some very exciting scenes, both inside and outside of the train.",837
M02V08,boat,Boat,water-based,Istanbul sightseeing ship,0_Other,,3590,3727,137,137,M02,From Russia with Love,1963,Sean Connery,6900,2534,37%,"The second Bond movie has the longest vehicle scene of them all: the famous Orient Express train from Istanbul to Istria. It leads to some very exciting scenes, both inside and outside of the train.",974
M02V09,car,Car,land-based,1959 Plymouth Savoy,0_Other,"taxi, passenger",3810,3818,8,8,M02,From Russia with Love,1963,Sean Connery,6900,2534,37%,"The second Bond movie has the longest vehicle scene of them all: the famous Orient Express train from Istanbul to Istria. It leads to some very exciting scenes, both inside and outside of the train.",982
M02V14,truck,Truck,land-based,Chevrolet C30 flatbed truck ,0_Other,chased,5943,6017,74,74,M02,From Russia with Love,1963,Sean Connery,6900,2534,37%,"The second Bond movie has the longest vehicle scene of them all: the famous Orient Express train from Istanbul to Istria. It leads to some very exciting scenes, both inside and outside of the train.",2720
M02V15,truck,Truck,land-based,Chevrolet C30 flatbed truck,0_Other,,6145,6156,11,11,M02,From Russia with Love,1963,Sean Connery,6900,2534,37%,"The second Bond movie has the longest vehicle scene of them all: the famous Orient Express train from Istanbul to Istria. It leads to some very exciting scenes, both inside and outside of the train.",2731
M02V16,boat,Boat,water-based,Fairey Huntress 23,0_Other,,6184,6249,65,65,M02,From Russia with Love,1963,Sean Connery,6900,2534,37%,"The second Bond movie has the longest vehicle scene of them all: the famous Orient Express train from Istanbul to Istria. It leads to some very exciting scenes, both inside and outside of the train.",2796
M02V17,boat,Boat,water-based,Fairey Huntress 23 ,0_Other,chased,6346,6551,205,205,M02,From Russia with Love,1963,Sean Connery,6900,2534,37%,"The second Bond movie has the longest vehicle scene of them all: the famous Orient Express train from Istanbul to Istria. It leads to some very exciting scenes, both inside and outside of the train.",3001
M02V18,boat,Boat,water-based,Motor boat,0_Other,,6758,6898,140,140,M02,From Russia with Love,1963,Sean Connery,6900,2534,37%,"The second Bond movie has the longest vehicle scene of them all: the famous Orient Express train from Istanbul to Istria. It leads to some very exciting scenes, both inside and outside of the train.",3141
M03V09,airplane,Airplane,air-based,Lockheed L-1329 JetStar,0_Other,,3250,3578,328,328,M03,Goldfinger,1964,Sean Connery,6600,1384,21%,"This is possibly most people's favorite Bond movie, with an iconic villain and a lot of memorable scenes. But of course, the movie's highlight is the introduction of the ultimate Bond car: the Aston Martin DB5!",4136
M03V10,airplane,Airplane,air-based,Lockheed L-1329 JetStar,0_Other,landed,3612,3648,36,36,M03,Goldfinger,1964,Sean Connery,6600,1384,21%,"This is possibly most people's favorite Bond movie, with an iconic villain and a lot of memorable scenes. But of course, the movie's highlight is the introduction of the ultimate Bond car: the Aston Martin DB5!",4172
M03V11,car,Car,land-based,1964 Ford Country Squire,0_Other,passenger,3712,3724,12,12,M03,Goldfinger,1964,Sean Connery,6600,1384,21%,"This is possibly most people's favorite Bond movie, with an iconic villain and a lot of memorable scenes. But of course, the movie's highlight is the introduction of the ultimate Bond car: the Aston Martin DB5!",4184
M03V12,car,Car,land-based,1964 Ford Country Squire,0_Other,passenger,3774,3792,18,18,M03,Goldfinger,1964,Sean Connery,6600,1384,21%,"This is possibly most people's favorite Bond movie, with an iconic villain and a lot of memorable scenes. But of course, the movie's highlight is the introduction of the ultimate Bond car: the Aston Martin DB5!",4202
M03V13,truck,Truck,land-based,Army truck,0_Other,passenger,5462,5644,182,182,M03,Goldfinger,1964,Sean Connery,6600,1384,21%,"This is possibly most people's favorite Bond movie, with an iconic villain and a lot of memorable scenes. But of course, the movie's highlight is the introduction of the ultimate Bond car: the Aston Martin DB5!",4384
M03V14,car,Car,land-based,1964 Lincoln Continental Convertible,0_Other,,6323,6331,8,8,M03,Goldfinger,1964,Sean Connery,6600,1384,21%,"This is possibly most people's favorite Bond movie, with an iconic villain and a lot of memorable scenes. But of course, the movie's highlight is the introduction of the ultimate Bond car: the Aston Martin DB5!",4392
M03V15,airplane,Airplane,air-based,Lockheed L-1329 JetStar,0_Other,crashed,6355,6488,133,133,M03,Goldfinger,1964,Sean Connery,6600,1384,21%,"This is possibly most people's favorite Bond movie, with an iconic villain and a lot of memorable scenes. But of course, the movie's highlight is the introduction of the ultimate Bond car: the Aston Martin DB5!",4525
M04V01,jetpack,Jetpack,air-based,Bell Rocket Belt,0_Other,rocket propulsion device,230,254,24,24,M04,Thunderball,1965,Sean Connery,7800,1208,15%,"Bond doesn't spend a lot of time in vehicles in his fourth movie, but noteworthy and memorable are the underwater atomic bomb sledge, and the final scene aboard Largo's yacht 'Disco Volante'.",4549
M04V04,boat,Boat,water-based,Evinrude Sport-16,0_Other,not working,2744,2785,41,41,M04,Thunderball,1965,Sean Connery,7800,1208,15%,"Bond doesn't spend a lot of time in vehicles in his fourth movie, but noteworthy and memorable are the underwater atomic bomb sledge, and the final scene aboard Largo's yacht 'Disco Volante'.",4694
M04V05,boat,Boat,water-based,Buehler Turbocraft,0_Other,model later renamed to 'Thunderball',2793,2814,21,21,M04,Thunderball,1965,Sean Connery,7800,1208,15%,"Bond doesn't spend a lot of time in vehicles in his fourth movie, but noteworthy and memorable are the underwater atomic bomb sledge, and the final scene aboard Largo's yacht 'Disco Volante'.",4715
M04V06,boat,Boat,water-based,Unidentified boat 'Omisa',0_Other,,2921,2945,24,24,M04,Thunderball,1965,Sean Connery,7800,1208,15%,"Bond doesn't spend a lot of time in vehicles in his fourth movie, but noteworthy and memorable are the underwater atomic bomb sledge, and the final scene aboard Largo's yacht 'Disco Volante'.",4739
M04V07,boat,Boat,water-based,Unidentified,0_Other,,3684,3698,14,14,M04,Thunderball,1965,Sean Connery,7800,1208,15%,"Bond doesn't spend a lot of time in vehicles in his fourth movie, but noteworthy and memorable are the underwater atomic bomb sledge, and the final scene aboard Largo's yacht 'Disco Volante'.",4753
M04V08,boat,Boat,water-based,Unidentified,0_Other,,3777,3784,7,7,M04,Thunderball,1965,Sean Connery,7800,1208,15%,"Bond doesn't spend a lot of time in vehicles in his fourth movie, but noteworthy and memorable are the underwater atomic bomb sledge, and the final scene aboard Largo's yacht 'Disco Volante'.",4760
M04V09,car,Car,land-based,1965 Ford Mustang,0_Other,passenger,4012,4110,98,98,M04,Thunderball,1965,Sean Connery,7800,1208,15%,"Bond doesn't spend a lot of time in vehicles in his fourth movie, but noteworthy and memorable are the underwater atomic bomb sledge, and the final scene aboard Largo's yacht 'Disco Volante'.",4858
M04V10,helicopter,Helicopter,air-based,Bell 47J Ranger,0_Other,,4148,4268,120,120,M04,Thunderball,1965,Sean Connery,7800,1208,15%,"Bond doesn't spend a lot of time in vehicles in his fourth movie, but noteworthy and memorable are the underwater atomic bomb sledge, and the final scene aboard Largo's yacht 'Disco Volante'.",4978
M04V11,car,Car,land-based,1965 Lincoln Continental Convertible,0_Other,driver,4268,4275,7,7,M04,Thunderball,1965,Sean Connery,7800,1208,15%,"Bond doesn't spend a lot of time in vehicles in his fourth movie, but noteworthy and memorable are the underwater atomic bomb sledge, and the final scene aboard Largo's yacht 'Disco Volante'.",4985
M04V12,car,Car,land-based,1964 Morris Minor 1000 Convertible,0_Other,passenger,4883,4890,7,7,M04,Thunderball,1965,Sean Connery,7800,1208,15%,"Bond doesn't spend a lot of time in vehicles in his fourth movie, but noteworthy and memorable are the underwater atomic bomb sledge, and the final scene aboard Largo's yacht 'Disco Volante'.",4992
M04V13,car,Car,land-based,1965 Ford Country Sedan,0_Other,passenger,5165,5192,27,27,M04,Thunderball,1965,Sean Connery,7800,1208,15%,"Bond doesn't spend a lot of time in vehicles in his fourth movie, but noteworthy and memorable are the underwater atomic bomb sledge, and the final scene aboard Largo's yacht 'Disco Volante'.",5019
M04V14,helicopter,Helicopter,air-based,Bell 47J Ranger,0_Other,,5563,5671,108,108,M04,Thunderball,1965,Sean Connery,7800,1208,15%,"Bond doesn't spend a lot of time in vehicles in his fourth movie, but noteworthy and memorable are the underwater atomic bomb sledge, and the final scene aboard Largo's yacht 'Disco Volante'.",5127
M04V15,helicopter,Helicopter,air-based,Bell 47J Ranger,0_Other,,5793,5819,26,26,M04,Thunderball,1965,Sean Connery,7800,1208,15%,"Bond doesn't spend a lot of time in vehicles in his fourth movie, but noteworthy and memorable are the underwater atomic bomb sledge, and the final scene aboard Largo's yacht 'Disco Volante'.",5153
M04V16,boat,Boat,water-based,Disco Volante,0_Other,,6261,6311,50,50,M04,Thunderball,1965,Sean Connery,7800,1208,15%,"Bond doesn't spend a lot of time in vehicles in his fourth movie, but noteworthy and memorable are the underwater atomic bomb sledge, and the final scene aboard Largo's yacht 'Disco Volante'.",5203
M04V17,submarine,Submarine,water-based,Underwater bomb sledge,0_Other,,6311,6440,129,129,M04,Thunderball,1965,Sean Connery,7800,1208,15%,"Bond doesn't spend a lot of time in vehicles in his fourth movie, but noteworthy and memorable are the underwater atomic bomb sledge, and the final scene aboard Largo's yacht 'Disco Volante'.",5332
M04V18,helicopter,Helicopter,air-based,Sikorsky HH-52A Sea Guard Rescue Helicopter,0_Other,,6773,6794,21,21,M04,Thunderball,1965,Sean Connery,7800,1208,15%,"Bond doesn't spend a lot of time in vehicles in his fourth movie, but noteworthy and memorable are the underwater atomic bomb sledge, and the final scene aboard Largo's yacht 'Disco Volante'.",5353
M04V19,helicopter,Helicopter,air-based,Sikorsky HH-52A Sea Guard Rescue Helicopter,0_Other,,6955,6974,19,19,M04,Thunderball,1965,Sean Connery,7800,1208,15%,"Bond doesn't spend a lot of time in vehicles in his fourth movie, but noteworthy and memorable are the underwater atomic bomb sledge, and the final scene aboard Largo's yacht 'Disco Volante'.",5372
M04V20,submarine,Submarine,water-based,Underwater sledge,0_Other,,7351,7389,38,38,M04,Thunderball,1965,Sean Connery,7800,1208,15%,"Bond doesn't spend a lot of time in vehicles in his fourth movie, but noteworthy and memorable are the underwater atomic bomb sledge, and the final scene aboard Largo's yacht 'Disco Volante'.",5410
M04V21,boat,Boat,water-based,Disco Volante,0_Other,,7407,7447,40,40,M04,Thunderball,1965,Sean Connery,7800,1208,15%,"Bond doesn't spend a lot of time in vehicles in his fourth movie, but noteworthy and memorable are the underwater atomic bomb sledge, and the final scene aboard Largo's yacht 'Disco Volante'.",5450
M04V22,boat,Boat,water-based,Disco Volante,0_Other,"only front part, crashed",7447,7675,228,228,M04,Thunderball,1965,Sean Connery,7800,1208,15%,"Bond doesn't spend a lot of time in vehicles in his fourth movie, but noteworthy and memorable are the underwater atomic bomb sledge, and the final scene aboard Largo's yacht 'Disco Volante'.",5678
M04V23,life raft,Life raft,water-based,Life raft,0_Other,,7713,7768,55,55,M04,Thunderball,1965,Sean Connery,7800,1208,15%,"Bond doesn't spend a lot of time in vehicles in his fourth movie, but noteworthy and memorable are the underwater atomic bomb sledge, and the final scene aboard Largo's yacht 'Disco Volante'.",5733
M04V24,skyhook,Skyhook,air-based,Flying Skyhook,0_Other,,7768,7809,41,41,M04,Thunderball,1965,Sean Connery,7800,1208,15%,"Bond doesn't spend a lot of time in vehicles in his fourth movie, but noteworthy and memorable are the underwater atomic bomb sledge, and the final scene aboard Largo's yacht 'Disco Volante'.",5774
M05V01,boat,Boat,water-based,Whitby-class anti-submarine frigate HMS Tenby,0_Other,,547,586,39,39,M05,You Only Live Twice,1967,Sean Connery,7020,1545,22%,"This movie features some very curious vehicles, such as Tanaka's secret underground train, and 'Little Nellie': a Wallis WA-116 Agile autogyro which even features on the movie's poster!",5813
M05V02,submarine,Submarine,water-based,Amphion-class submarine HMS Aeneas,0_Other,,645,896,251,251,M05,You Only Live Twice,1967,Sean Connery,7020,1545,22%,"This movie features some very curious vehicles, such as Tanaka's secret underground train, and 'Little Nellie': a Wallis WA-116 Agile autogyro which even features on the movie's poster!",6064
M05V03,car,Car,land-based,Toyota 2000GT,0_Other,passenger,1165,1193,28,28,M05,You Only Live Twice,1967,Sean Connery,7020,1545,22%,"This movie features some very curious vehicles, such as Tanaka's secret underground train, and 'Little Nellie': a Wallis WA-116 Agile autogyro which even features on the movie's poster!",6092
M05V04,car,Car,land-based,1964 Dodge Polara,0_Other,passenger,1426,1458,32,32,M05,You Only Live Twice,1967,Sean Connery,7020,1545,22%,"This movie features some very curious vehicles, such as Tanaka's secret underground train, and 'Little Nellie': a Wallis WA-116 Agile autogyro which even features on the movie's poster!",6124
M05V05,car,Car,land-based,Toyota 2000GT,0_Other,passenger,1693,1723,30,30,M05,You Only Live Twice,1967,Sean Connery,7020,1545,22%,"This movie features some very curious vehicles, such as Tanaka's secret underground train, and 'Little Nellie': a Wallis WA-116 Agile autogyro which even features on the movie's poster!",6154
M05V07,car,Car,land-based,Prince Gloria,0_Other,"taxi, passenger",2175,2190,15,15,M05,You Only Live Twice,1967,Sean Connery,7020,1545,22%,"This movie features some very curious vehicles, such as Tanaka's secret underground train, and 'Little Nellie': a Wallis WA-116 Agile autogyro which even features on the movie's poster!",6258
M05V08,car,Car,land-based,Toyota 2000GT ,0_Other,"passenger, chased",2468,2658,190,190,M05,You Only Live Twice,1967,Sean Connery,7020,1545,22%,"This movie features some very curious vehicles, such as Tanaka's secret underground train, and 'Little Nellie': a Wallis WA-116 Agile autogyro which even features on the movie's poster!",6448
M05V09,boat,Boat,water-based,Ning-Po cargo ship,0_Other,,2820,2987,167,167,M05,You Only Live Twice,1967,Sean Connery,7020,1545,22%,"This movie features some very curious vehicles, such as Tanaka's secret underground train, and 'Little Nellie': a Wallis WA-116 Agile autogyro which even features on the movie's poster!",6615
M05V10,airplane,Airplane,air-based,Aero Commander (Meyers) 200D ,0_Other,crashed,2987,3063,76,76,M05,You Only Live Twice,1967,Sean Connery,7020,1545,22%,"This movie features some very curious vehicles, such as Tanaka's secret underground train, and 'Little Nellie': a Wallis WA-116 Agile autogyro which even features on the movie's poster!",6691
M05V11,helicopter,Helicopter,air-based,"Wallis WA-116 (""Little Nellie"")",0_Other,chased,3218,3539,321,321,M05,You Only Live Twice,1967,Sean Connery,7020,1545,22%,"This movie features some very curious vehicles, such as Tanaka's secret underground train, and 'Little Nellie': a Wallis WA-116 Agile autogyro which even features on the movie's poster!",7012
M05V12,helicopter,Helicopter,air-based,Aerospatiale Alouette 316B,0_Other,,4142,4178,36,36,M05,You Only Live Twice,1967,Sean Connery,7020,1545,22%,"This movie features some very curious vehicles, such as Tanaka's secret underground train, and 'Little Nellie': a Wallis WA-116 Agile autogyro which even features on the movie's poster!",7048
M05V13,boat,Boat,water-based,Unidentified ship with fishermen,0_Other,,4825,4883,58,58,M05,You Only Live Twice,1967,Sean Connery,7020,1545,22%,"This movie features some very curious vehicles, such as Tanaka's secret underground train, and 'Little Nellie': a Wallis WA-116 Agile autogyro which even features on the movie's poster!",7106
M05V14,boat,Boat,water-based,Unidentified rowing fishing boat,0_Other,,5065,5144,79,79,M05,You Only Live Twice,1967,Sean Connery,7020,1545,22%,"This movie features some very curious vehicles, such as Tanaka's secret underground train, and 'Little Nellie': a Wallis WA-116 Agile autogyro which even features on the movie's poster!",7185
M05V15,car,Car,land-based,Cargo monorail,0_Other,inside SPECTRE lair,5604,5650,46,46,M05,You Only Live Twice,1967,Sean Connery,7020,1545,22%,"This movie features some very curious vehicles, such as Tanaka's secret underground train, and 'Little Nellie': a Wallis WA-116 Agile autogyro which even features on the movie's poster!",7231
M05V16,life raft,Life raft,water-based,Life raft,0_Other,,6831,6919,88,88,M05,You Only Live Twice,1967,Sean Connery,7020,1545,22%,"This movie features some very curious vehicles, such as Tanaka's secret underground train, and 'Little Nellie': a Wallis WA-116 Agile autogyro which even features on the movie's poster!",7319
M06V01,car,Car,land-based,Aston Martin DBS,0_Other,driver,88,211,123,123,M06,On Her Majesty's Secret Service,1969,George Lazenby,8520,2060,24%,"The only Bond movie starring George Lazenby is also one of the longest in the entire series.  It features a lot of snow-based vehicles, such as the cable car to Piz Gloria and horse-drawn sleighs. It is the only movie in which Bond rides a bobsleigh! ",123
M06V02,car,Car,land-based,Aston Martin DBS,0_Other,driver,563,579,16,16,M06,On Her Majesty's Secret Service,1969,George Lazenby,8520,2060,24%,"The only Bond movie starring George Lazenby is also one of the longest in the entire series.  It features a lot of snow-based vehicles, such as the cable car to Piz Gloria and horse-drawn sleighs. It is the only movie in which Bond rides a bobsleigh! ",139
M06V03,car,Car,land-based,1968 Rolls Royce Silver Shadow,0_Other,passenger,1209,1255,46,46,M06,On Her Majesty's Secret Service,1969,George Lazenby,8520,2060,24%,"The only Bond movie starring George Lazenby is also one of the longest in the entire series.  It features a lot of snow-based vehicles, such as the cable car to Piz Gloria and horse-drawn sleighs. It is the only movie in which Bond rides a bobsleigh! ",185
M06V05,car,Car,land-based,1968 Rolls Royce Silver Shadow,0_Other,passenger,2205,2244,39,39,M06,On Her Majesty's Secret Service,1969,George Lazenby,8520,2060,24%,"The only Bond movie starring George Lazenby is also one of the longest in the entire series.  It features a lot of snow-based vehicles, such as the cable car to Piz Gloria and horse-drawn sleighs. It is the only movie in which Bond rides a bobsleigh! ",237
M06V06,car,Car,land-based,Aston Martin DBS,0_Other,driver,2632,2649,17,17,M06,On Her Majesty's Secret Service,1969,George Lazenby,8520,2060,24%,"The only Bond movie starring George Lazenby is also one of the longest in the entire series.  It features a lot of snow-based vehicles, such as the cable car to Piz Gloria and horse-drawn sleighs. It is the only movie in which Bond rides a bobsleigh! ",254
M06V08,sleigh,Sleigh,land-based,Sleigh drawn by two horses,0_Other,,2952,3005,53,53,M06,On Her Majesty's Secret Service,1969,George Lazenby,8520,2060,24%,"The only Bond movie starring George Lazenby is also one of the longest in the entire series.  It features a lot of snow-based vehicles, such as the cable car to Piz Gloria and horse-drawn sleighs. It is the only movie in which Bond rides a bobsleigh! ",343
M06V09,helicopter,Helicopter,air-based,Helicopter Agusta Bell 206B JetRanger,0_Other,,3018,3205,187,187,M06,On Her Majesty's Secret Service,1969,George Lazenby,8520,2060,24%,"The only Bond movie starring George Lazenby is also one of the longest in the entire series.  It features a lot of snow-based vehicles, such as the cable car to Piz Gloria and horse-drawn sleighs. It is the only movie in which Bond rides a bobsleigh! ",530
M06V10,cable car,Cable car,land-based,Cable Car to Piz Gloria ,0_Other,on top,5308,5335,27,27,M06,On Her Majesty's Secret Service,1969,George Lazenby,8520,2060,24%,"The only Bond movie starring George Lazenby is also one of the longest in the entire series.  It features a lot of snow-based vehicles, such as the cable car to Piz Gloria and horse-drawn sleighs. It is the only movie in which Bond rides a bobsleigh! ",557
M06V14,car,Car,land-based,1969 Mercury Cougar XR7 Convertible,0_Other,passenger,6189,6264,75,75,M06,On Her Majesty's Secret Service,1969,George Lazenby,8520,2060,24%,"The only Bond movie starring George Lazenby is also one of the longest in the entire series.  It features a lot of snow-based vehicles, such as the cable car to Piz Gloria and horse-drawn sleighs. It is the only movie in which Bond rides a bobsleigh! ",856
M06V15,car,Car,land-based,1969 Mercury Cougar XR7 Convertible ,0_Other,"passenger, chased",6293,6533,240,240,M06,On Her Majesty's Secret Service,1969,George Lazenby,8520,2060,24%,"The only Bond movie starring George Lazenby is also one of the longest in the entire series.  It features a lot of snow-based vehicles, such as the cable car to Piz Gloria and horse-drawn sleighs. It is the only movie in which Bond rides a bobsleigh! ",1096
M06V16,car,Car,land-based,1969 Mercury Cougar XR7 Convertible,0_Other,passenger,6540,6553,13,13,M06,On Her Majesty's Secret Service,1969,George Lazenby,8520,2060,24%,"The only Bond movie starring George Lazenby is also one of the longest in the entire series.  It features a lot of snow-based vehicles, such as the cable car to Piz Gloria and horse-drawn sleighs. It is the only movie in which Bond rides a bobsleigh! ",1109
M06V18,helicopter,Helicopter,air-based,Agusta AB204,0_Other,,7247,7642,395,395,M06,On Her Majesty's Secret Service,1969,George Lazenby,8520,2060,24%,"The only Bond movie starring George Lazenby is also one of the longest in the entire series.  It features a lot of snow-based vehicles, such as the cable car to Piz Gloria and horse-drawn sleighs. It is the only movie in which Bond rides a bobsleigh! ",1755
M06V19,sleigh,Sleigh,land-based,Bobsleigh ,0_Other,chasing,7933,8019,86,86,M06,On Her Majesty's Secret Service,1969,George Lazenby,8520,2060,24%,"The only Bond movie starring George Lazenby is also one of the longest in the entire series.  It features a lot of snow-based vehicles, such as the cable car to Piz Gloria and horse-drawn sleighs. It is the only movie in which Bond rides a bobsleigh! ",1841
M06V20,sleigh,Sleigh,land-based,Bobsleigh ,0_Other,hanging on,8030,8116,86,86,M06,On Her Majesty's Secret Service,1969,George Lazenby,8520,2060,24%,"The only Bond movie starring George Lazenby is also one of the longest in the entire series.  It features a lot of snow-based vehicles, such as the cable car to Piz Gloria and horse-drawn sleighs. It is the only movie in which Bond rides a bobsleigh! ",1927
M06V21,car,Car,land-based,Aston Martin DBS,0_Other,driver,8140,8148,8,8,M06,On Her Majesty's Secret Service,1969,George Lazenby,8520,2060,24%,"The only Bond movie starring George Lazenby is also one of the longest in the entire series.  It features a lot of snow-based vehicles, such as the cable car to Piz Gloria and horse-drawn sleighs. It is the only movie in which Bond rides a bobsleigh! ",1935
M06V22,car,Car,land-based,Aston Martin DBS,0_Other,driver,8291,8356,65,65,M06,On Her Majesty's Secret Service,1969,George Lazenby,8520,2060,24%,"The only Bond movie starring George Lazenby is also one of the longest in the entire series.  It features a lot of snow-based vehicles, such as the cable car to Piz Gloria and horse-drawn sleighs. It is the only movie in which Bond rides a bobsleigh! ",2000
M06V23,car,Car,land-based,Aston Martin DBS,0_Other,driver,8400,8460,60,60,M06,On Her Majesty's Secret Service,1969,George Lazenby,8520,2060,24%,"The only Bond movie starring George Lazenby is also one of the longest in the entire series.  It features a lot of snow-based vehicles, such as the cable car to Piz Gloria and horse-drawn sleighs. It is the only movie in which Bond rides a bobsleigh! ",2060
